g,p,rtgs
ข้อจำกัด,KX-3 cam1 kat2,khochamkat
ข้อซักถาม,KX-3 sak4 TAm5,khosaktham
ข้อดี,KX-3 dI-1,khodi
ข้อด้อย,KX-3 dXj3,khodoi
ข้อตกลง,KX-3 tok2 loN1,khotoklong
ข้อต่อ,KX-3 tX-2,khoto
ข้อต่อรอง,KX-3 tX-2 rXN1,khotorong
ข้อบกพร่อง,KX-3 bok2 PrXN3,khobokphrong
ข้อบังคับ,KX-3 baN1 Kap4,khobangkhap
ข้อบัญญัติ,KX-3 ban1 jat2,khobanyat
ข้อบ่งชี้,KX-3 boN2 CI-4,khobongchi
ข้อปฏิบัติ,KX-3 pa-1 ti?2 bat2,khopatibat
ข้อผิดพลาด,KX-3 Pit2 PlAt3,khophitphlat
ข้อผูกพัน,KX-3 PUk2 Pan1,khophukphan
ข้อผูกมัด,KX-3 PUk2 mat4,khophukmat
ข้อพิพาท,KX-3 Pi?4 PAt3,khophiphat
ข้อพิพาทแรงงาน,KX-3 Pi?4 PAt3 rYN1 NAn1,khophiphatraengngan
ข้อพิสูจน์,KX-3 Pi?4 sUt2,khophisut
ข้อมือ,KX-3 mV-1,khomue
ข้อมูล,KX-3 mUn1,khomun
ข้อมูลขนาดใหญ่,KX-3 mUn1 Ka-2 nAt2 jaj2,khomunkhanatyai
ข้อมูลข่าวสาร,KX-3 mUn1 KAw2 sAn5,khomunkhaosan
ข้อยกเว้น,KX-3 jok4 wen4,khoyokwen
ข้อยุติ,KX-3 jut4 ti?2,khoyutti
ข้อลำ,KX-3 lam1,kholam
ข้อศอก,KX-3 sXk2,khosok
ข้อสงสัย,KX-3 soN5 saj5,khosongsai
ข้อสรุป,KX-3 sa-1 rup2,khosarup
ข้อสอบ,KX-3 sXp2,khosop
ข้อสังเกต,KX-3 saN5 kEt2,khosangket
ข้อสำคัญ,KX-3 sam5 Kan1,khosamkhan
ข้อหา,KX-3 hA-5,khoha
ข้อหาฉกรรจ์,KX-3 hA-5 Ca-2 kan1,khohachakan
ข้อห้าม,KX-3 hAm3,khoham
ข้ออ้าง,KX-3 ?AN3,khoang
ข้อเขียน,KX-3 KJn5,khokhian
ข้อเท็จจริง,KX-3 Tet4 ciN1,khothetching
ข้อเท้า,KX-3 TAw4,khothao
ข้อเปรียบเทียบ,KX-3 prJp2 TJp3,khopriapthiap
ข้อเรียกร้อง,KX-3 rJk3 rXN4,khoriakrong
ข้อเสนอ,KX-3 sa-1 nZ-5,khosanoe
ข้อเสนอแนะ,KX-3 sa-1 nZ-5 ny?4,khosanoenae
ข้อเสีย,KX-3 sJ-5,khosia
ข้อเสียหาย,KX-3 sJ-5 hAj5,khosiahai
ข้อเสียเปรียบ,KX-3 sJ-5 prJp2,khosiapriap
ข้อแก้ตัว,KX-3 kY-3 tR-1,khokaetua
ข้อแนะนำ,KX-3 ny?4 nam1,khonaenam
ข้อแม้,KX-3 mY-4,khomae
ข้อโต้แย้ง,KX-3 tO-3 jYN4,khotoyaeng
ข้อใหญ่ใจความ,KX-3 jaj2 caj1 KwAm1,khoyaichaikhwam
ข้อไข,KX-3 Kaj5,khokhai
ข้าง ๆ,KaN3 KaN3,khangkhang
ข้างขึ้น,KAN3 Kvn3,khangkhuen
ข้างต้น,KAN3 ton3,khangton
ข้างทาง,KAN3 TAN1,khangthang
ข้างนอก,KAN3 nXk3,khangnok
ข้างน้อย,KAN3 nXj4,khangnoi
ข้างบน,KAN3 bon1,khangbon
ข้างมาก,KAN3 mAk3,khangmak
ข้างล่าง,KAN3 lAN3,khanglang
ข้างหน้า,KAN3 nA-3,khangna
ข้างหลัง,KAN3 laN5,khanglang
ข้างเคียง,KAN3 KJN1,khangkhiang
ข้างแรม,KAN3 rYm1,khangraem
ข้างใดข้างหนึ่ง,KAN3 daj1 KAN3 nvN2,khangdaikhangnueng
ข้างใต้,KAN3 taj3,khangtai
ข้างใน,KAN3 naj1,khangnai
ข้างๆ,KaN3 KaN3,khangkhang
ข้าน้อย,KA-3 nXj4,khanoi
ข้าพระพุทธเจ้า,KA-3 Pra-4 Put4 Ta?4 caw3,khaphraphutthachao
ข้าพเจ้า,KA-3 Pa-4 caw3,khaphachao
ข้ามคืน,KAm3 KVn1,khamkhuen
ข้ามชาติ,KAm3 CAt3,khamchat
ข้ามถนน,KAm3 Ta-2 non5,khamthanon
ข้ามพรมแดน,KAm3 Prom1 dYn1,khamphromdaen
ข้ามฟาก,KAm3 fAk3,khamfak
ข้ามวันข้ามคืน,KAm3 wan1 KAm3 KVn1,khamwankhamkhuen
ข้ามหน้า,KAm3 nA-3,khamna
ข้ามแดน,KAm3 dYn1,khamdaen
ข้าราชการ,KA-3 rAt3 Ca-4 kAn1,kharatchakan
ข้าราชการการเมือง,KA-3 rAt3 Ca-4 kAn1 kAn1 mWN1,kharatchakankanmueang
ข้าราชการชั้นผู้ใหญ่,KA-3 rAt3 Ca-4 kAn1 Can4 PU-3 jaj2,kharatchakanchanphuyai
ข้าราชการประจำ,KA-3 rAt3 Ca-4 kAn1 pra-1 cam1,kharatchakanpracham
ข้าราชการพลเรือน,KA-3 rAt3 Ca-4 kAn1 Pon1 la-4 rWn1,kharatchakanphonlaruean
ข้าราชบริพาร,KA-3 rAt3 bx?2 ri?4 PAn1,kharatboriphan
ข้าวกลางวัน,KAw3 klAN1 wan1,khaoklangwan
ข้าวกล้อง,KAw3 klXN3,khaoklong
ข้าวก้นบาตร,KAw3 kon3 bAt2,khaokonbat
ข้าวของ,KAw3 KXN5,khaokhong
ข้าวของเครื่องใช้,KAw3 KXN5 KrWN3 Caj4,khaokhongkhrueangchai
ข้าวจ้าว,KAw3 cAw3,khaochao
ข้าวซอย,KAw3 sXj1,khaosoi
ข้าวซ้อม,KAw3 sXm4,khaosom
ข้าวซ้อมมือ,KAw3 sXm4 mV-1,khaosommue
ข้าวตอก,KAw3 tXk2,khaotok
ข้าวตัง,KAw3 taN1,khaotang
ข้าวต้ม,KAw3 tom3,khaotom
ข้าวต้มกุ๊ย,KAw3 tom3 kuj4,khaotomkui
ข้าวต้มเครื่อง,KAw3 tom3 KrWN3,khaotomkhrueang
ข้าวนาปรัง,KAw3 nA-1 praN1,khaonaprang
ข้าวนาปี,KAw3 nA-1 pI-1,khaonapi
ข้าวนึ่ง,KAw3 nvN3,khaonueng
ข้าวบาร์เลย์,KAw3 bA-1 lE-1,khaobale
ข้าวปลูก,KAw3 plUk2,khaopluk
ข้าวปากหม้อ,KAw3 pAk2 mX-3,khaopakmo
ข้าวปุ้น,KAw3 pun3,khaopun
ข้าวผัด,KAw3 Pat2,khaophat
ข้าวฟ่าง,KAw3 fAN3,khaofang
ข้าวมันไก่,KAw3 man1 kaj2,khaomankai
ข้าวยากหมากแพง,KAw3 jAk3 mAk2 PYN1,khaoyakmakphaeng
ข้าวราดแกง,KAw3 rAt3 kYN1,khaoratkaeng
ข้าวสวย,KAw3 sRj5,khaosuai
ข้าวสามเดือน,KAw3 sAm5 dWn1,khaosamduean
ข้าวสาร,KAw3 sAn5,khaosan
ข้าวสาลี,KAw3 sA-5 lI-1,khaosali
ข้าวสุก,KAw3 suk2,khaosuk
ข้าวหนัก,KAw3 nak2,khaonak
ข้าวหมาก,KAw3 mAk2,khaomak
ข้าวหมูแดง,KAw3 mU-5 dYN1,khaomudaeng
ข้าวหลาม,KAw3 lAm5,khaolam
ข้าวหลามตัด,KAw3 lAm5 tat2,khaolamtat
ข้าวห่อ,KAw3 hX-2,khaoho
ข้าวเกรียบ,KAw3 krJp2,khaokriap
ข้าวเก่า,KAw3 kaw2,khaokao
ข้าวเจ้า,KAw3 caw3,khaochao
ข้าวเบา,KAw3 baw1,khaobao
ข้าวเบือ,KAw3 bW-1,khaobuea
ข้าวเปลือก,KAw3 plWk2,khaoplueak
ข้าวเปียก,KAw3 pJk2,khaopiak
ข้าวเม่า,KAw3 maw3,khaomao
ข้าวเย็น,KAw3 jen1,khaoyen
ข้าวเหนียว,KAw3 nJw5,khaoniao
ข้าวเหนียวดำ,KAw3 nJw5 dam1,khaoniaodam
ข้าวเหลือเกลืออิ่ม,KAw3 lW-5 klW-1 ?im2,khaolueaklueaim
ข้าวแกง,KAw3 kYN1,khaokaeng
ข้าวแคบ,KAw3 KYp3,khaokhaep
ข้าวแช่,KAw3 CY-3,khaochae
ข้าวแดง,KAw3 dYN1,khaodaeng
ข้าวแดงแกงร้อน,KAw3 dYN1 kYN1 rXn4,khaodaengkaengron
ข้าวแต๋น,KAw3 tYn5,khaotaen
ข้าวโพด,KAw3 POt3,khaophot
ข้าวโพดคั่ว,KAw3 POt3 KR-3,khaophotkhua
ข้าวโอ๊ต,KAw3 ?Ot4,khaoot
ข้าวใหม่,KAw3 maj2,khaomai
ข้าวใหม่ปลามัน,KAw3 maj2 plA-1 man1,khaomaiplaman
ข้าศึก,KA-3 svk2,khasuek
ข้าหลวง,KA-3 lRN5,khaluang
ข้าหลวงใหญ่,KA-3 lRN5 jaj2,khaluangyai
ข้าแผ่นดิน,KA-3 Pyn2 din1,khaphaendin
คงกระพัน,KoN1 kra-1 Pan1,khongkraphan
คงคา,KoN1 KA-1,khongkha
คงจะ,KoN1 ca?2,khongcha
คงตัว,KoN1 tR-1,khongtua
คงทน,KoN1 Ton1,khongthon
คงที่,KoN1 TI-3,khongthi
คงอยู่,KoN1 jU-2,khongyu
คงเดิม,KoN1 dZm1,khongdoem
คงเส้นคงวา,KoN1 sen3 KoN1 wA-1,khongsenkhongwa
คงแก่เรียน,KoN1 kY-2 rJn1,khongkaerian
คงไว้,KoN1 waj4,khongwai
คชสีห์,Kot4 Ca-4 sI-5,khotchasi
คชาชีพ,Ka-4 CA-1 CIp3,khachachip
คณนา,Ka-4 na-4 nA-1,khanana
คณบดี,Ka-4 na-4 bX-1 dI-1,khanabodi
คณะ,Ka-4 na?4,khana
คณะกรรมการ,Ka-4 na?4 kam1 ma-4 kAn1,khanakammakan
คณะกรรมาธิการ,Ka-1 na?4 kam1 mA-1 Ti?4 kAn1,khanakammathikan
คณะทำงาน,Ka-4 na?4 Tam1 NAn1,khanathamngan
คณะที่ปรึกษา,Ka-4 na-4 TI-3 prvk2 sA-5,khanathiprueksa
คณะบริหาร,Ka-4 na-4 bX-1 ri-4 hAn5,khanaborihan
คณะปฏิวัติ,Ka-4 na?4 pa-2 ti?2 wat4,khanapatiwat
คณะผู้แทน,Ka-4 na?4 PU-3 TYn1,khanaphuthaen
คณะมนตรี,Ka-4 na?4 mon1 trI-1,khanamontri
คณะมนตรีความมั่นคง,Ka-4 na?4 mon1 trI-1 KwAm1 man3 KoN1,khanamontrikhwammankhong
คณะรัฐประหาร,Ka-4 na?4 rat4 pra-1 hAn5,khanaratprahan
คณะรัฐมนตรี,Ka-4 na?4 rat4 Ta-2 mon1 trI-1,khanaratthamontri
คณะลูกขุน,Ka-4 na?4 lUk3 Kun5,khanalukkhun
คณะองคมนตรี,Ka-4 na?4 ?oN1 Ka-4 mon1 trI-1,khanaongkhamontri
คณะอักษรศาสตร์,Ka-4 na?4 ?ak2 sXn5 sAt2,khanaaksonsat
คณาจารย์,Ka-4 nA-1 cAn1,khanachan
คณาธิปไตย,Ka-4 nA-1 Tip4 pa-2 taj1,khanathippatai
คณานับ,Ka-4 nA-1 nap4,khananap
คณิต,Ka-4 nit4,khanit
คณิตศาสตร์,Ka-4 nit4 ta-2 sAt2,khanittasat
คดข้าว,Kot4 KAw3,khotkhao
คดงอ,Kot4 NX-1,khotngo
คดี,Ka-4 dI-1,khadi
คดีความ,Ka-4 dI-1 KwAm1,khadikhwam
คดีดำ,Ka-4 dI-1 dam1,khadidam
คดีอาญา,Ka-4 dI-1 ?A-1 jA-1,khadiaya
คดีอุกฉกรรจ์,Ka-1 dI-1 ?uk2 Ca-1 kan1,khadiukchakan
คดีแดง,Ka-4 dI-1 dYN1,khadidaeng
คดีแพ่ง,Ka-4 dI-1 PYN3,khadiphaeng
คดเคี้ยว,Kot4 KJw4,khotkhiao
คดโกง,Kot4 kON1,khotkong
คดไปคดมา,Kot4 paj1 Kot4 mA-1,khotpaikhotma
คติ,Ka-4 ti?2,khati
คทา,Ka-4 TA-1,khatha
คนกรุง,Kon1 kruN1,khonkrung
คนกลาง,Kon1 klAN1,khonklang
คนกวาดถนน,Kon1 kwAt2 Ta-2 non5,khonkwatthanon
คนกันเอง,Kon1 kan1 ?EN1,khonkaneng
คนก้าวร้าว,Kon1 kAw3 rAw4,khonkaorao
คนขับ,Kon1 Kap2,khonkhap
คนขับรถ,Kon1 Kap2 rot4,khonkhaprot
คนขายของ,Kon1 KAj5 KXN5,khonkhaikhong
คนขายดอกไม้,Kon1 KAj5 dXk2 mAj4,khonkhaidokmai
คนขายตั๋ว,Kon1 KAj5 tR-5,khonkhaitua
คนขี้ขลาด,Kon1 KI-3 KlAt2,khonkhikhlat
คนขี้บ่น,Kon1 KI-3 bon2,khonkhibon
คนครัว,Kon1 KrR-1,khonkhrua
คนคุก,Kon1 Kuk4,khonkhuk
คนคุม,Kon1 Kum1,khonkhum
คนคุ้นเคย,Kon1 Kun4 KZj1,khonkhunkhoei
คนงาน,Kon1 NAn1,khonngan
คนงี่เง่า,Kon1 NI-3 Naw3,khonngingao
คนจน,Kon1 con1,khonchon
คนจร,Kon1 cXn1,khonchon
คนจรจัด,Kon1 cXn1 cat2,khonchonchat
คนจริง,Kon1 ciN1,khonching
คนจัญไร,Kon1 can1 raj1,khonchanrai
คนจีน,Kon1 cIn1,khonchin
คนชนบท,Kon1 Con1 na-4 bot2,khonchonnabot
คนชรา,Kon1 Ca-4 rA-1,khonchara
คนชั่ว,Kon1 CR-3,khonchua
คนชั้นต่ำ,Kon1 Can4 tam2,khonchantam
คนชั้นสูง,Kon1 Can4 sUN5,khonchansung
คนชั้นหลัง,Kon1 Can4 laN5,khonchanlang
คนซื่อ,Kon1 sV-3,khonsue
คนซื้อ,Kon1 sV-4,khonsue
คนญี่ปุ่น,Kon1 jI-3 pun2,khonyipun
คนดอย,Kon1 dXj1,khondoi
คนดัง,Kon1 daN1,khondang
คนดิบ,Kon1 dip2,khondip
คนดี,Kon1 dI-1,khondi
คนดู,Kon1 dU-1,khondu
คนตกงาน,Kon1 tok2 NAn1,khontokngan
คนตะวันตก,Kon1 ta-1 wan1 tok2,khontawantok
คนตาบอด,Kon1 tA-1 bXt2,khontabot
คนตาย,Kon1 tAj1,khontai
คนต่างจังหวัด,Kon1 tAN2 caN1 wat2,khontangchangwat
คนต่างชาติ,Kon1 tAN2 CAt3,khontangchat
คนต่างด้าว,Kon1 tAN2 dAw3,khontangdao
คนต่างถิ่น,Kon1 tAN2 Tin2,khontangthin
คนต่างแดน,Kon1 tAN2 dYn1,khontangdaen
คนต้องขัง,Kon1 txN3 KaN5,khontongkhang
คนต้อนรับ,Kon1 tXn3 rap4,khontonrap
คนทรง,Kon1 soN1,khonsong
คนทรงเจ้า,Kon1 soN1 caw3,khonsongchao
คนทา,Kon1 TA-1,khontha
คนทำมาหากิน,Kon1 Tam1 mA-1 hA-5 kin1,khonthammahakin
คนทำสวน,Kon1 Tam1 sRn5,khonthamsuan
คนที,Kon1 TI-1,khonthi
คนธรรมดา,Kon1 Tam1 ma-4 dA-1,khonthammada
คนนอก,Kon1 nXk3,khonnok
คนนำทาง,Kon1 nam1 TAN1,khonnamthang
คนบริสุทธิ์,Kon1 bX-1 ri?4 sut2,khonborisut
คนบ้า,Kon1 bA-3,khonba
คนบ้างาน,Kon1 bA-3 NAn1,khonbangan
คนบ้านนอก,Kon1 bAn3 nXk3,khonbannok
คนปัญญาอ่อน,Kon1 pan1 jA-1 ?Xn2,khonpanyaon
คนป่วย,Kon1 pRj2,khonpuai
คนป่า,Kon1 pA-2,khonpa
คนป่าเถื่อน,Kon1 pA-2 TWn2,khonpathuean
คนผิวขาว,Kon1 Piw5 KAw5,khonphiokhao
คนผิวดำ,Kon1 Piw5 dam1,khonphiodam
คนพาย,Kon1 PAj1,khonphai
คนพาล,Kon1 PAn1,khonphan
คนพิการ,Kon1 Pi?4 kAn1,khonphikan
คนพิถีพิถัน,Kon1 Pi?4 TI-5 Pi?4 Tan5,khonphithiphithan
คนพื้นถิ่น,Kon1 PVn4 Tin2,khonphuenthin
คนพื้นเมือง,Kon1 PVn4 mWN1,khonphuenmueang
คนพูด,Kon1 PUt3,khonphut
คนพูดมาก,Kon1 PUt3 mAk3,khonphutmak
คนพเนจร,Kon1 Pa-4 nE-1 cXn1,khonphanechon
คนฟัง,Kon1 faN1,khonfang
คนภายนอก,Kon1 PAj1 nXk3,khonphainok
คนภูเขา,Kon1 PU-1 Kaw5,khonphukhao
คนมั่งมี,Kon1 maN3 mI-1,khonmangmi
คนมีระเบียบ,Kon1 mI-1 ra-1 bJp2,khonmirabiap
คนมีสี,Kon1 mI-1 sI-5,khonmisi
คนมีอายุ,Kon1 mI-1 ?A-1 ju?4,khonmiayu
คนมีเงิน,Kon1 mI-1 Nzn1,khonmingoen
คนมีเหตุผล,Kon1 mI-1 hEt2 Pon5,khonmihetphon
คนมีโชค,Kon1 mI-1 COk3,khonmichok
คนยากจน,Kon1 jAk3 con1,khonyakchon
คนรถ,Kon1 rot4,khonrot
คนรวย,Kon1 rRj1,khonruai
คนรัก,Kon1 rak4,khonrak
คนรักสนุก,Kon1 rak4 sa-1 nuk2,khonraksanuk
คนรับ,Kon1 rap4,khonrap
คนรับใช้,Kon1 rap4 Caj4,khonrapchai
คนรัสเซีย,Kon1 rat4 sJ-1,khonratsia
คนรุ่นหลัง,Kon1 run3 laN5,khonrunlang
คนรุ่นใหม่,Kon1 run3 maj2,khonrunmai
คนรู้จัก,Kon1 rU-4 cak2,khonruchak
คนร้าย,Kon1 rAj4,khonrai
คนลงทุน,Kon1 loN1 Tun1,khonlongthun
คนละ,Kon1 la?4,khonla
คนละทิศคนละทาง,Kon1 la?4 Tit4 Kon1 la?4 TAN1,khonlathitkhonlathang
คนละทิศละทาง,Kon1 la?1 Tit4 la-1 TAN1,khonlathitlathang
คนละอย่าง,Kon1 la?4 jAN2,khonlayang
คนละเรื่อง,Kon1 la?1 rWN3,khonlarueang
คนละไม้คนละมือ,Kon1 la?4 mAj4 Kon1 la?4 mV-1,khonlamaikhonlamue
คนลึกลับ,Kon1 lvk4 lap4,khonlueklap
คนวงใน,Kon1 woN1 naj1,khonwongnai
คนวัยหนุ่มสาว,Kon1 waj1 num2 sAw5,khonwainumsao
คนวางแผน,Kon1 wAN1 PYn5,khonwangphaen
คนว่างงาน,Kon1 wAN3 NAn1,khonwangngan
คนสนิท,Kon1 sa-1 nit2,khonsanit
คนสมัยใหม่,Kon1 sa-1 maj5 maj2,khonsamaimai
คนสวน,Kon1 sRn5,khonsuan
คนสวย,Kon1 sRj5,khonsuai
คนสาบสูญ,Kon1 sAp2 sUn5,khonsapsun
คนสารเลว,Kon1 sAn5 lEw1,khonsanleo
คนสำคัญ,Kon1 sam5 Kan1,khonsamkhan
คนสุก,Kon1 suk2,khonsuk
คนสูงอายุ,Kon1 sUN5 ?A-1 ju?4,khonsungayu
คนส่งสินค้า,Kon1 soN2 sin5 KA-4,khonsongsinkha
คนหนุ่ม,Kon1 num2,khonnum
คนหนุ่มสาว,Kon1 num2 sAw5,khonnumsao
คนหลักลอย,Kon1 lak2 lXj1,khonlakloi
คนหากิน,Kon1 hA-5 kin1,khonhakin
คนอื่น,Kon1 ?Vn2,khonuen
คนอื่นๆ,Kon1 ?Vn2 ?Vn2,khonuenuen
คนอ่อนหัด,Kon1 ?Xn2 hat2,khononhat
คนอ่อนแอ,Kon1 ?Xn2 ?Y-1,khononae
คนอ่าน,Kon1 ?An2,khonan
คนเก็บตัว,Kon1 kep2 tR-1,khonkeptua
คนเก็บตั๋ว,Kon1 kep2 tR-5,khonkeptua
คนเก็บเงิน,Kon1 kep2 Nzn1,khonkepngoen
คนเก่ง,Kon1 keN2,khonkeng
คนเขียน,Kon1 KJn5,khonkhian
คนเข้าเมือง,Kon1 kaw3 mVN1,khonkaomueng
คนเจ็บ,Kon1 cep2,khonchep
คนเจ้าชู้,Kon1 caw3 CU-4,khonchaochu
คนเจ้าทุกข์,Kon1 caw3 Tuk4,khonchaothuk
คนเจ้าระเบียบ,Kon1 caw3 ra?4 bJp2,khonchaorabiap
คนเจ้าอารมณ์,Kon1 caw3 ?A-1 rom1,khonchaoarom
คนเดินถนน,Kon1 dZn1 Ta-1 non5,khondoenthanon
คนเดินเท้า,Kon1 dZn1 TAw4,khondoenthao
คนเดียว,Kon1 dJw1,khondiao
คนเมา,Kon1 maw1,khonmao
คนเมือง,Kon1 mWN1,khonmueang
คนเรา,Kon1 raw1,khonrao
คนเลว,Kon1 lEw1,khonleo
คนเลี้ยง,Kon1 lJN4,khonliang
คนเสียจริต,Kon1 sJ-5 ca-2 rit2,khonsiacharit
คนเหนือ,Kon1 nW-5,khonnuea
คนเห็นแก่ตัว,Kon1 hen5 kY-2 tR-1,khonhenkaetua
คนเอเชีย,Kon1 ?E-1 CJ-1,khonechia
คนแก่,Kon1 kY-2,khonkae
คนแจว,Kon1 cYw1,khonchaeo
คนแจวเรือ,Kon1 cYw1 rW-1,khonchaeoruea
คนแนะนำ,Kon1 ny-4 nam1,khonnaenam
คนแปลกถิ่น,Kon1 plYk2 Tin2,khonplaekthin
คนแปลกหน้า,Kon1 plYk2 nA-3,khonplaekna
คนโกง,Kon1 kON1,khonkong
คนโง่,Kon1 NO-3,khonngo
คนโง่เง่า,Kon1 NO-3 Naw3,khonngongao
คนโดยสาร,Kon1 dOj1 sAn5,khondoisan
คนโต,Kon1 tO-1,khonto
คนโท,Kon1 TO-1,khontho
คนโบราณ,Kon1 bO-1 rAn1,khonboran
คนโปรด,Kon1 prOt2,khonprot
คนโรแมนติค,Kon1 rO-1 mYn1 tik2,khonromaentik
คนโสด,Kon1 sOt2,khonsot
คนโอบ,Kon1 ?Op2,khonop
คนใกล้ชิด,Kon1 klaj3 Cit4,khonklaichit
คนใจดี,Kon1 caj1 dI-1,khonchaidi
คนใจบุญ,Kon1 caj1 bun1,khonchaibun
คนใจร้าย,Kon1 caj1 rAj4,khonchairai
คนใช้,Kon1 Caj4,khonchai
คนใด,Kon1 daj1,khondai
คนใดคนหนึ่ง,Kon1 daj1 Kon1 nvN2,khondaikhonnueng
คนใต้,Kon1 tAj3,khontai
คนใน,Kon1 naj1,khonnai
คนไข้,Kon1 Kaj3,khonkhai
คนไข้ใน,Kon1 Kaj3 naj1,khonkhainai
คนไทย,Kon1 Taj1,khonthai
คบคิด,Kop4 Kit4,khopkhit
คบค้า,Kop4 KA-4,khopkha
คบชู้,Kop4 CU-4,khopchu
คบชู้สู่ชาย,Kop4 CU-4 sU-2 CAj1,khopchusuchai
คบหา,Kop4 hA-5,khopha
คบหาสมาคม,Kop4 hA-5 sa-1 mA-1 Kom1,khophasamakhom
คบเพลิง,Kop4 PlZN1,khopphloeng
คบไฟ,Kop4 faj1,khopfai
คบไม้,Kop4 maj4,khopmai
คมกริบ,Kom1 krip2,khomkrip
คมคาย,Kom1 KAj1,khomkhai
คมชัด,Kom1 Cat4,khomchat
คมนาคม,Ka-4 ma-4 nA-1 Kom1,khamanakhom
คมสัน,Kom1 san5,khomsan
คมในฝัก,Kom1 naj1 fak2,khomnaifak
ครกกะเบือ,Krok4 ka-1 bW-1,khrokkabuea
ครบกำหนด,Krop4 kam1 not2,khropkamnot
ครบครัน,Krop4 Kran1,khropkhran
ครบถ้วน,Krop4 TRn3,khropthuan
ครบมือ,Krop4 mV-1,khropmue
ครบรอบ,Krop4 rXp3,khroprop
ครบวงจร,Krop4 woN1 cXn1,khropwongchon
ครบวาระ,Krop4 wA-1 ra?4,khropwara
ครบสามสิบสอง,Krop4 sAm5 sip2 sXN5,khropsamsipsong
ครบเครื่อง,Krop4 KrWN3,khropkhrueang
ครรลอง,Kan1 lXN1,khanlong
ครวญคราง,KrRn1 KrAN1,khruankhrang
ครหา,Ka-4 ra-4 hA-5,kharaha
ครองความเป็นโสด,KrXN1 KwAm1 pen1 sOt2,khrongkhwampensot
ครองชีพ,KrXN1 CIp3,khrongchip
ครองชีวิต,KrXN1 CI-1 wit4,khrongchiwit
ครองตลาด,KrXN1 ta-2 lAt2,khrongtalat
ครองตัว,KrXN1 tR-1,khrongtua
ครองราชย์,KrXN1 rAt3,khrongrat
ครองราชสมบัติ,KrXN1 rAt3 Ca-1 som5 bat2,khrongratchasombat
ครองอำนาจ,KrXN1 ?am1 nAt3,khrongamnat
ครองเรือน,KrXN1 rWn1,khrongruean
ครองแครง,KrXN1 KrYN1,khrongkhraeng
ครองแชมป์,KrXN1 CYm4,khrongchaem
ครองแผ่นดิน,KrXN1 Pyn2 din1,khrongphaendin
ครองโลก,KrXN1 lOk3,khronglok
ครองใจ,KrXN1 caj1,khrongchai
ครอบครอง,KrXp3 KrXN1,khropkhrong
ครอบครัว,KrXp3 KrR-1,khropkhrua
ครอบครัวเดี่ยว,KrXp3 KrR-1 dJw2,khropkhruadiao
ครอบคลุม,KrXp3 Klum1,khropkhlum
ครอบงำ,KrXp3 Nam1,khropngam
ครอบจักรวาล,KrXp3 cak2 kra-1 wAn1,khropchakkrawan
ครับผม,Krap4 Pom5,khrapphom
ครัวซองต์,KrR-1 sXN1,khruasong
ครัวเรือน,KrR-1 rWn1,khruaruean
ครั่นคร้าม,Kran3 KrAm4,khrankhram
ครั่นตัว,Kran3 tR-1,khrantua
